year,round,position,driver_id,q1,q2,q3
2021,20,20,nikita_mazepin,1:25.859,,
2021,21,1,lewis_hamilton,1:28.466,1:27.712,1:27.511
2021,21,2,valtteri_bottas,1:28.057,1:28.054,1:27.622
2021,21,3,max_verstappen,1:28.285,1:27.953,1:27.653
2021,21,4,charles_leclerc,1:28.310,1:28.459,1:28.054
2021,21,5,sergio_perez,1:28.021,1:27.946,1:28.123
2021,21,6,pierre_gasly,1:28.401,1:28.314,1:28.125
2021,21,7,lando_norris,1:28.338,1:28.344,1:28.180
2021,21,8,yuki_tsunoda,1:28.503,1:28.222,1:28.442
2021,21,9,esteban_ocon,1:28.752,1:28.574,1:28.647
2021,21,10,antonio_giovinazzi,1:28.899,1:28.616,1:28.754
2021,21,11,daniel_ricciardo,1:28.216,1:28.668,
2021,21,12,kimi_raikkonen,1:28.856,1:28.885,
2021,21,13,fernando_alonso,1:28.944,1:28.920,
2021,21,14,george_russell,1:28.926,1:29.054,
2021,21,15,carlos_sainz,1:28.237,1:53.652,
2021,21,16,nicholas_latifi,1:29.177,,
2021,21,17,sebastian_vettel,1:29.198,,
2021,21,18,lance_stroll,1:29.368,,
2021,21,19,mick_schumacher,1:29.464,,
2021,21,20,nikita_mazepin,1:30.473,,
2021,22,1,max_verstappen,1:23.322,1:22.800,1:22.109
2021,22,2,lewis_hamilton,1:22.845,1:23.145,1:22.480
2021,22,3,lando_norris,1:23.553,1:23.256,1:22.931
2021,22,4,sergio_perez,1:23.350,1:23.135,1:22.947
2021,22,5,carlos_sainz,1:23.624,1:23.174,1:22.992
2021,22,6,valtteri_bottas,1:23.117,1:23.246,1:23.036
2021,22,7,charles_leclerc,1:23.467,1:23.202,1:23.122
2021,22,8,yuki_tsunoda,1:23.428,1:23.404,1:23.220
2021,22,9,esteban_ocon,1:23.764,1:23.420,1:23.389
2021,22,10,daniel_ricciardo,1:23.829,1:23.448,1:23.409
2021,22,11,fernando_alonso,1:23.846,1:23.460,
2021,22,12,pierre_gasly,1:23.489,1:24.043,
2021,22,13,lance_stroll,1:24.061,1:24.066,
2021,22,14,antonio_giovinazzi,1:24.118,1:24.251,
2021,22,15,sebastian_vettel,1:24.225,1:24.305,
2021,22,16,nicholas_latifi,1:24.338,,
2021,22,17,george_russell,1:24.423,,
2021,22,18,kimi_raikkonen,1:24.779,,
2021,22,19,mick_schumacher,1:24.906,,
2021,22,20,nikita_mazepin,1:25.685,,
2022,1,1,charles_leclerc,1:31.471,1:30.932,1:30.558
2022,1,2,max_verstappen,1:31.785,1:30.757,1:30.681
2022,1,3,carlos_sainz,1:31.567,1:30.787,1:30.687
2022,1,4,sergio_perez,1:32.311,1:31.008,1:30.921
2022,1,5,lewis_hamilton,1:32.285,1:31.048,1:31.238
2022,1,6,valtteri_bottas,1:31.919,1:31.717,1:31.560
2022,1,7,kevin_magnussen,1:31.955,1:31.461,1:31.808
2022,1,8,fernando_alonso,1:32.346,1:31.621,1:32.195
2022,1,9,george_russell,1:32.269,1:31.252,1:32.216
2022,1,10,pierre_gasly,1:32.096,1:31.635,1:32.338
2022,1,11,esteban_ocon,1:32.041,1:31.782,
2022,1,12,mick_schumacher,1:32.380,1:31.998,
2022,1,13,lando_norris,1:32.239,1:32.008,
2022,1,14,alexander_albon,1:32.726,1:32.664,
2022,1,15,zhou_guanyu,1:32.493,1:33.543,
2022,1,16,yuki_tsunoda,1:32.750,,
2022,1,17,nico_hulkenberg,1:32.777,,
2022,1,18,daniel_ricciardo,1:32.945,,
2022,1,19,lance_stroll,1:33.032,,
2022,1,20,nicholas_latifi,1:33.634,,
2022,2,1,sergio_perez,1:29.705,1:28.924,1:28.200
2022,2,2,charles_leclerc,1:29.039,1:28.780,1:28.225
2022,2,3,carlos_sainz,1:28.855,1:28.686,1:28.402
2022,2,4,max_verstappen,1:28.928,1:28.945,1:28.461
2022,2,5,esteban_ocon,1:30.093,1:29.584,1:29.068
2022,2,6,george_russell,1:29.680,1:29.618,1:29.104
2022,2,7,fernando_alonso,1:29.978,1:29.295,1:29.147
2022,2,8,valtteri_bottas,1:29.683,1:29.404,1:29.183
