year,round,lap,driver_id,lap_time,gap_to_leader
2021,1,20,lando_norris,1:36.463,20.218
2021,1,20,charles_leclerc,1:36.603,23.039
2021,1,20,daniel_ricciardo,1:36.622,28.077
2021,1,20,lance_stroll,1:36.451,30.685
2021,1,20,sebastian_vettel,1:39.584,33.481
2021,1,20,fernando_alonso,1:39.078,33.856
2021,1,20,carlos_sainz,1:38.966,34.150
2021,1,20,kimi_raikkonen,1:36.923,36.892
2021,1,20,sergio_perez,1:56.512,37.362
2021,1,20,esteban_ocon,1:38.408,41.497
2021,1,20,yuki_tsunoda,1:38.319,42.054
2021,1,20,antonio_giovinazzi,1:37.279,45.941
2021,1,20,george_russell,1:37.643,47.855
2021,1,20,nicholas_latifi,1:37.447,55.955
2021,1,20,mick_schumacher,1:38.231,74.411
2021,1,20,pierre_gasly,1:59.290,82.542
2021,1,21,lewis_hamilton,1:35.837,0.0
2021,1,21,max_verstappen,1:34.829,4.244
2021,1,21,valtteri_bottas,1:35.098,8.203
2021,1,21,lando_norris,1:36.569,20.950
2021,1,21,charles_leclerc,1:36.721,23.923
2021,1,21,daniel_ricciardo,1:36.664,28.904
2021,1,21,lance_stroll,1:37.206,32.054
2021,1,21,carlos_sainz,1:36.702,35.015
2021,1,21,sergio_perez,1:35.721,37.246
2021,1,21,sebastian_vettel,1:39.996,37.640
2021,1,21,fernando_alonso,1:40.090,38.109
2021,1,21,kimi_raikkonen,1:37.665,38.720
2021,1,21,yuki_tsunoda,1:37.210,43.427
2021,1,21,esteban_ocon,1:38.677,44.337
2021,1,21,antonio_giovinazzi,1:37.387,47.491
2021,1,21,george_russell,1:37.711,49.729
2021,1,21,nicholas_latifi,1:37.556,57.674
2021,1,21,mick_schumacher,1:38.020,76.594
2021,1,21,pierre_gasly,1:36.483,83.188
2021,1,22,lewis_hamilton,1:35.539,0.0
2021,1,22,max_verstappen,1:35.159,3.864
2021,1,22,valtteri_bottas,1:35.077,7.741
2021,1,22,lando_norris,1:36.371,21.782
2021,1,22,charles_leclerc,1:36.457,24.841
